id1;id2;data_source;points;50km;20km;10km;5km;zone;X;Y
Binney2017_E3554;R142;EMPD2;Binney2017_E3554;0,78446307;0,669146718;0,699259039;0,653199623;taiga;132.17;62
Binney2017_E3555;R143;EMPD2;Binney2017_E3555;0,78446307;0,669146718;0,699259039;0,653199623;taiga;132.17;62
Binney2017_E3556;R144;EMPD2;Binney2017_E3556;0,803475521;0,740936654;0,653931981;0,51472875;taiga;133.5;62.25
Binney2017_E3557;R145;EMPD2;Binney2017_E3557;0,803475521;0,740936654;0,653931981;0,51472875;taiga;133.5;62.25
Binney2017_E3558;R146;EMPD2;Binney2017_E3558;0,718813855;0,789334473;0,81113085;0,777359947;taiga;129;63.33
Binney2017_E3559;R147;EMPD2;Binney2017_E3559;0,718813855;0,789334473;0,81113085;0,777359947;taiga;129;63.33
Binney2017_E3560;R148;EMPD2;Binney2017_E3560;0,718813855;0,789334473;0,81113085;0,777359947;taiga;129;63.33
Binney2017_E3561;R149;EMPD2;Binney2017_E3561;0,718813855;0,789334473;0,81113085;0,777359947;taiga;129;63.33
Binney2017_E3562;R150;EMPD2;Binney2017_E3562;0,718813855;0,789334473;0,81113085;0,777359947;taiga;129;63.33
Binney2017_E3563;R151;EMPD2;Binney2017_E3563;0,810662666;0,74831544;0,831169918;0,855537828;taiga;127.5;63
Binney2017_E3564;R152;EMPD2;Binney2017_E3564;0,810662666;0,74831544;0,831169918;0,855537828;taiga;127.5;63
Binney2017_E3565;R153;EMPD2;Binney2017_E3565;0,810662666;0,74831544;0,831169918;0,855537828;taiga;127.5;63
